GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-2069492797,Connect4,5,GAME_OVER,12,1,2,121,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1770987610,Connect4,3,GAME_OVER,8,1,2,122,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
803393950,Connect4,3,GAME_OVER,8,1,2,123,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
729978769,Connect4,3,GAME_OVER,8,1,2,124,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1696041272,Connect4,3,GAME_OVER,7,0,2,125,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-820865651,Connect4,3,GAME_OVER,7,0,2,126,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1274945941,Connect4,3,GAME_OVER,8,1,2,127,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
309225253,Connect4,13,GAME_OVER,27,0,2,128,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-211487773,Connect4,3,GAME_OVER,8,1,2,129,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
900850219,Connect4,5,GAME_OVER,12,1,2,130,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
656084288,Connect4,14,GAME_OVER,29,0,2,131,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-654510776,Connect4,3,GAME_OVER,8,1,2,132,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
367540394,Connect4,3,GAME_OVER,8,1,2,133,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
157779522,Connect4,4,GAME_OVER,10,1,2,134,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-742897131,Connect4,5,GAME_OVER,12,1,2,135,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
936541807,Connect4,3,GAME_OVER,8,1,2,136,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1110959865,Connect4,3,GAME_OVER,8,1,2,137,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-492937223,Connect4,3,GAME_OVER,8,1,2,138,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1127983648,Connect4,4,GAME_OVER,10,1,2,139,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-650173733,Connect4,3,GAME_OVER,8,1,2,140,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1567683149,Connect4,9,GAME_OVER,20,1,2,141,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
968865470,Connect4,3,GAME_OVER,8,1,2,142,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
2002296535,Connect4,3,GAME_OVER,7,0,2,143,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
375451423,Connect4,3,GAME_OVER,8,1,2,144,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-2103348381,Connect4,3,GAME_OVER,7,0,2,145,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1342038375,Connect4,3,GAME_OVER,8,1,2,146,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1400281323,Connect4,4,GAME_OVER,10,1,2,147,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-96507681,Connect4,4,GAME_OVER,10,1,2,148,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
528391606,Connect4,5,GAME_OVER,12,1,2,149,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
580954778,Connect4,3,GAME_OVER,8,1,2,150,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-638561184,Connect4,8,GAME_OVER,18,1,2,151,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-41114663,Connect4,3,GAME_OVER,8,1,2,152,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-380019667,Connect4,5,GAME_OVER,11,0,2,153,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1450633361,Connect4,3,GAME_OVER,8,1,2,154,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
640379295,Connect4,3,GAME_OVER,8,1,2,155,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1644944599,Connect4,6,GAME_OVER,14,1,2,156,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1899022862,Connect4,3,GAME_OVER,8,1,2,157,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1155036243,Connect4,3,GAME_OVER,8,1,2,158,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1174818378,Connect4,10,GAME_OVER,21,0,2,159,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
60820168,Connect4,3,GAME_OVER,8,1,2,160,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1431110757,Connect4,8,GAME_OVER,17,0,2,161,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
906021935,Connect4,5,GAME_OVER,12,1,2,162,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1642764399,Connect4,3,GAME_OVER,8,1,2,163,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1260479829,Connect4,3,GAME_OVER,8,1,2,164,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1535167110,Connect4,3,GAME_OVER,8,1,2,165,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-62706232,Connect4,3,GAME_OVER,8,1,2,166,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1844342211,Connect4,4,GAME_OVER,10,1,2,167,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
346665430,Connect4,10,GAME_OVER,22,1,2,168,1,random,1,2,2,OSLA,random,1.0,-1.0,OSLA,OSLA,random,1
879079583,Connect4,6,GAME_OVER,14,1,2,169,1,random,1,2,2,OSLA,random,1.0,-1.0,OSLA,OSLA,random,1
-619666105,Connect4,9,GAME_OVER,20,1,2,170,1,random,1,2,2,OSLA,random,1.0,-1.0,OSLA,OSLA,random,1
